Nome do exercício;Séries e Repetições;Descanso;Instruções/Observações;Link do vídeo;Dificuldade;Treino
Dobrar o cotovelo;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/uf1aQbuJvWg;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - BRAÇOS
Elevação dos braços para frente;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/oc1wndKZKb0;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - BRAÇOS
Flexão de braço na parede;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.;https://youtu.be/aPF4IGzvXRw;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - BRAÇOS
Rotação do braço para fora;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/g3EmpJIpiMw;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - BRAÇOS
Rotação do braço para dentro;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/tQTOvA5OEbM;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - BRAÇOS
Abdominal em pé;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.;https://youtu.be/fC7Bieh5dg0;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - TRONCO
Abdominal deitado;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.;https://youtu.be/5_-nqivKzNM;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - TRONCO
Prancha com apoio dos joelhos;3x30s;40s;Faça o exercício ficando nessa posição por 30 segundos. Depois, descanse 40 segundos e faça mais 30 segundos. Faça isso 3 vezes no total.;https://youtu.be/3nFTZiC-r60;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - TRONCO
Prancha ;3x30s;40s;Faça o exercício ficando nessa posição por 30 segundos. Depois, descanse 40 segundos e faça mais 30 segundos. Faça isso 3 vezes no total.;https://youtu.be/LK7Ph0LCCXU;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - TRONCO
Parte da frente da perna;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/J2Vq8rvkJwM;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Parte de trás da perna;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/eiigoyq0144;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Panturrilha;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/ukCxzDBg_nY;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Braços esticados acima;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/usIQwhKcOF4;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Braços esticados para trás;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/glWOhWXijtM;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Braços esticados na frente;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/pPQWB8n-SoU;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Glúteos;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/GkkI4luB1AA;Intermediário;EXERCÍCIO PERSONALIZADO - INTERMEDIÁRIO - ALONGAMENTO
Círculos com a perna;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/aQ28TYdqiuU;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Círculos com o pé;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/t778SVu8q7k;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Pernas para frente e para trás;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/niQW5YigTR8;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Círculos com os braços;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/3yB1qsEBnek;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Subir e descer os ombros;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/GTnFmY5hcXo;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Círculos com os punhos;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/kmtUGLHAVFM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Descer e subir o tronco em pé;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/DBGhHKkEWpc;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Gato arrepiado;1x 10;–;Faça o exercício 10 vezes.;https://youtu.be/Nn-NbV8I3DI;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - MOBILIDADE 
Marcha no lugar;1x1min;30s;Faça o exercício por 1 minuto. Depois, descanse 30 segundos e vá para o próximo exercício.;https://youtu.be/u_nPrwSOZAM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - AQUECIMENTO
Marcha no lugar com toque no joelho;1x1min;30s;Faça o exercício por 1 minuto. Depois, descanse 30 segundos e vá para o próximo exercício.;https://youtu.be/dj-mW5LIwns;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - AQUECIMENTO
Polichinelo adaptado;1x1min;30s;Faça o exercício por 1 minuto. Depois, descanse 30 segundos e vá para o próximo exercício.;https://youtu.be/n6KZuSUL6js;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - AQUECIMENTO
Polichinelo ;1x1min;30s;Faça o exercício por 1 minuto. Depois, descanse 30 segundos e vá para o próximo exercício.;https://youtu.be/yqepwCAgegM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - AQUECIMENTO
Corrida no lugar;1x1min;30s;Faça o exercício por 1 minuto. Depois, descanse 30 segundos e vá para o próximo exercício.;https://youtu.be/C7ilpg4AI1M;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - AQUECIMENTO
Sentar e levantar da cadeira;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/JJqRkKUepSk;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Agachamento;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/5dDvx_rzLHA;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Subir e descer o quadril deitado;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/iUweFr2eT3Y;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Ficar na ponta dos pés em pé;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/H9bV8uuQm24;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Abrir a perna para o lado deitado;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/jRe3-rDkk5s;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Subir e descer o quadril com pé na cadeira;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/68B-LzfU4hU;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Cadeirinha na parede;3x30s;40s;Faça o exercício ficando nessa posição por 30 segundos. Depois, descanse 40 segundos e faça mais 30 segundos. Faça isso 3 vezes no total.;https://youtu.be/1m5X43qMwMA;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - PERNAS
Elevação lateral dos braços;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/ORl5e76_Ptw;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Dobrar o cotovelo;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/uf1aQbuJvWg;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Elevação dos braços para frente;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/oc1wndKZKb0;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Flexão de braço na parede;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.;https://youtu.be/aPF4IGzvXRw;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Dobrar o braço atrás da cabeça;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/GtLY21rdPSw;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Rotação do braço para fora;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/g3EmpJIpiMw;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Rotação do braço para dentro;3x12-15;40s;Faça o exercício de 12 a 15 vezes. Depois, descanse 40 segundos e faça mais 12 a 15 vezes. Faça isso 3 vezes no total.Você poderá usar um peso (halter), uma garrafa cheia de água ou areia, ou qualquer outro objeto pesado.;https://youtu.be/tQTOvA5OEbM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - BRAÇOS
Abdominal em pé;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.;https://youtu.be/fC7Bieh5dg0;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - TRONCO
Abdominal deitado;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.;https://youtu.be/5_-nqivKzNM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - TRONCO
Prancha ;3x30s;40s;Faça o exercício ficando nessa posição por 30 segundos. Depois, descanse 40 segundos e faça mais 30 segundos. Faça isso 3 vezes no total.;https://youtu.be/LK7Ph0LCCXU;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - TRONCO
Prancha lateral;3x30s;40s;Faça o exercício ficando nessa posição por 30 segundos. Depois, descanse 40 segundos e faça mais 30 segundos. Faça isso 3 vezes no total.;https://youtu.be/ez3xgY1Dwbg;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - TRONCO
Abdominal bicicleta;3x10;40s;Faça o exercício 10 vezes. Depois, descanse 40 segundos e faça mais 10 vezes. Faça isso 3 vezes no total.;https://youtu.be/UfYKwu_7uLU;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - TRONCO
Parte da frente da perna;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/J2Vq8rvkJwM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
Parte de trás da perna;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/eiigoyq0144;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
Panturrilha;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/ukCxzDBg_nY;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
Braços esticados acima;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/usIQwhKcOF4;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
Braços esticados para trás;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/glWOhWXijtM;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
Braços esticados na frente;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/pPQWB8n-SoU;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
Glúteos;1x 40s;–;Faça o exercício mantendo nessa posição por 40 segundos.;https://youtu.be/GkkI4luB1AA;Dificil;EXERCÍCIO PERSONALIZADO - AVANÇADO - ALONGAMENTO
